Année,Diplôme,situation,Genre,Disciplines,Code du domaine,Domaine,Code de la discipline,Discipline,Sigle,Spécialité,Nombre de réponses,Taux d'insertion,Part des emplois de niveau cadre ou profession intermédiaire,Part des emplois de niveau cadre,Part des emplois stables,Part des emplois à temps plein,Salaire net mensuel médian des emplois à temps plein,Salaire brut annuel estimé,Premier quartile des salaires nets mensuels des emplois à temps plein,Dernier quartile des salaires nets mensuels des emplois à temps plein,Part des emplois situés en dehors de la région (y compris à l'étranger),Part des diplômés boursiers dans la discipline,Part des femmes,Taux de chômage national,Salaire net mensuel médian national,Code du secteur disciplinaire SISE,Salaire net mensuel national 1er quartile,Salaire net mensuel national 3ème quartile,cle_DISC,Prof. libérale. indépendant. chef d’entreprise,Fonctionnaire,statut_cdi,statut_conspe,CDD,Vacataire,Intérimaire,Intermittent du spectacle,Contrat de professionnalisa tion,Emplois aidés (Contrat Initiative Emploi…),Volontariat international,Vous-même,La fonction publique (d'etat. territoriale ou hospitalière),Une entreprise privée,Une entreprise publique,Une association,Une personne exerçant une profession libérale ou un indépendant,Un particulier,Agriculture. sylviculture et pêche,Industries (manufacturières.  extractives et autres),Construction,Commerce. transports. héberg-ement et restauration,Information et communication,Activités financières et d’assurance,Activités spécialisées. scientifiques et techniques,Activités de services administratifs et de soutien,Enseignement,Administra tion publique (hors ens.),Santé humaine et action sociale,Arts. spectacles et activités récréatives,Autres activités de service,Personnel de catégorie A de la fonction publique,Ingénieur. cadre. prof. libérales. prof. intellectuelles sup,Personnel de catégorie B de la fonction publique,Emploi de niveau intermédiaire : technicien. agent de maîtrise…,Personnel de catégorie C de la fonction publique,Manœuvre. ouvrier,Employé de bureau. de commerce. personnel de service
2013,DUT,30 mois après le diplôme,hommes,Sciences. technologies et santé>Sciences de l'ingénieur>Génie civil,STS,Sciences. technologies et santé,disc15,Sciences de l'ingénieur,GC,Génie civil,70,99,75,10,77,99,1650,25700,1440,1920,36,20,,9.9,1870,,1490,2280,GC_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,18 mois après le diplôme,femmes,Droit. économie et gestion>Gestion>Gestion logistique et transport,DEG,Droit. économie et gestion,disc04,Gestion,GLT,Gestion logistique et transport,44,70,27,2,45,94,ns,ns,ns,ns,36,35,,9.9,1870,,1490,2280,GLT_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,18 mois après le diplôme,hommes,Sciences. technologies et santé>Sciences fondamentales>Chimie,STS,Sciences. technologies et santé,disc14,Sciences fondamentales,,Chimie,31,82,ns,ns,ns,ns,ns,ns,ns,ns,ns,45,,9.9,1870,,1490,2280,_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,30 mois après le diplôme,femmes,Sciences. technologies et santé>Informatique>Informatique,STS,Sciences. technologies et santé,disc16,Informatique,,Informatique,6,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,,9.9,1870,,1490,2280,_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,18 mois après le diplôme,femmes,Sciences. technologies et santé>Informatique>Informatique,STS,Sciences. technologies et santé,disc16,Informatique,,Informatique,6,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,,9.9,1870,,1490,2280,_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,18 mois après le diplôme,femmes,Droit. économie et gestion>Droit>Carrières juridiques,DEG,Droit. économie et gestion,disc02,Droit,,Carrières juridiques,16,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,,9.9,1870,,1490,2280,_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,18 mois après le diplôme,femmes et hommes,Sciences. technologies et santé>Sciences de l'ingénieur>Génie électrique et informatique industrielle,STS,Sciences. technologies et santé,disc15,Sciences de l'ingénieur,GEII,Génie électrique et informatique industrielle,125,81,84,9,75,97,1500,23400,1370,1800,22,24,3,9.9,1870,,1490,2280,GEII_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,30 mois après le diplôme,femmes et hommes,Sciences. technologies et santé>Sciences de l'ingénieur>Génie chimique - Génie des procédés,STS,Sciences. technologies et santé,disc15,Sciences de l'ingénieur,GCGP,Génie chimique - Génie des procédés,25,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,9.9,1870,,1490,2280,GCGP_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,18 mois après le diplôme,femmes et hommes,Sciences. technologies et santé>Sciences de l'ingénieur>Génie mécanique et productique,STS,Sciences. technologies et santé,disc15,Sciences de l'ingénieur,GMP,Génie mécanique et productique,98,85,75,6,69,97,1600,25000,1380,1750,37,34,13,9.9,1870,,1490,2280,GMP_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,18 mois après le diplôme,femmes et hommes,Sciences. technologies et santé>Sciences de l'ingénieur>Génie thermique et énergie,STS,Sciences. technologies et santé,disc15,Sciences de l'ingénieur,GTE,Génie thermique et énergie,20,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,9.9,1870,,1490,2280,GTE_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,18 mois après le diplôme,femmes et hommes,Droit. économie et gestion>Gestion>Techniques de commercialisation,DEG,Droit. économie et gestion,disc04,Gestion,TC,Techniques de commercialisation,346,80,30,6,70,86,1400,21800,1220,1700,27,32,53,9.9,1870,,1490,2280,TC_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,30 mois après le diplôme,femmes et hommes,Droit. économie et gestion>Gestion>Techniques de commercialisation,DEG,Droit. économie et gestion,disc04,Gestion,TC,Techniques de commercialisation,346,90,33,8,71,89,1430,22400,1240,1800,27,32,53,9.9,1870,,1490,2280,TC_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,18 mois après le diplôme,hommes,Sciences. technologies et santé>Sciences de l'ingénieur>Qualité. logistique industrielle et organisation,STS,Sciences. technologies et santé,disc15,Sciences de l'ingénieur,QLIO,Qualité. logistique industrielle et organisation,42,91,67,6,70,96,1720,26800,ns,ns,25,21,,9.9,1870,,1490,2280,QLIO_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,18 mois après le diplôme,femmes et hommes,Droit. économie et gestion>Gestion>Gestion des entreprises et administrations,DEG,Droit. économie et gestion,disc04,Gestion,GEA,Gestion des entreprises et administrations,241,81,28,4,60,92,1370,21300,1200,1580,21,40,63,9.9,1870,,1490,2280,GEA_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
